age,income,location_type,education_level,self_image_dependence,risk_tolerance,novelty_seeking,beauty_confidence,pain_sensitivity,tattoo_acceptance,cultural_conservatism,natural_look_preference,minutes_on_makeup_per_day,skincare_loyalty_score,prior_pmu_experience,influencer_trust,preferred_discovery_channel,information_skepticism,pmu_interest_level
39,70990.33154879004,urban,college,0.573462934162748,0.23154854976608477,0.4713757640371657,0.4085668350433493,0.7054715181601551,0.48657355661777413,0.08476363103140969,0.5391197488520525,23.366432120759704,0.20635497389163054,1,0.3753212061334522,in-store,0.10094313221177449,0.4858988416199853
33,63869.50524369153,urban,college,0.9450074652095333,0.23786919937584425,0.554800965201823,0.4329630051400014,0.5279757291256455,0.5931570015234284,0.2949939441676462,0.8584318748786598,37.95879309889155,0.7132613961743411,0,0.618418770895296,referral,0.7245574012707022,0.3378014971180184
41,50894.45554880261,urban,graduate,0.17339075545959662,0.2040041905022354,0.5671513326406421,0.7851875721347449,0.7044417194388223,0.19056796528612654,0.447127885131339,0.766878062423408,7.855831253516598,0.05430369174124746,0,0.5206273901624142,Instagram,0.3752032726115705,0.0
50,40295.94833441639,urban,high_school,0.6061793505716271,0.41915853582091644,0.7935221147957741,0.43244325676324985,0.8766630923527966,0.14106162863974034,0.31482335713494525,0.5514282510357441,23.15524754971152,0.5392459280711254,0,0.10301469839007361,Instagram,0.362955644359345,0.22995206344792363
32,60473.34970420385,rural,college,0.7813962164871724,0.18797968822767502,0.45976960808069184,0.3405734515164507,0.6353317460988878,0.22208707928928895,0.15749825387107624,0.4405151797662023,0.0,0.4208215061953538,0,0.5394328291148609,YouTube,0.19848409096452704,0.44371644004079075
32,55902.28078132625,rural,college,0.1956635159667099,0.24432428860511557,0.6834939548061769,0.596364495340835,0.6482986149122753,0.18599940372289403,0.35192745615966997,0.5968434376888713,12.264762436408628,0.4996918160758313,0,0.4540431570715186,referral,0.3231680307290868,0.04462486963586623
50,63427.89830041598,urban,high_school,0.4853019028783693,0.3970802845779711,0.905353472418464,0.5772910680417945,0.8491195979198695,0.6488259406328598,0.5231971086759973,0.48998539777290556,40.728923005506076,0.27592665169493164,1,0.1844832415204449,in-store,0.3580141388458397,0.14729215524390274
42,59527.57702522954,rural,college,0.49316842088876317,0.22078531761749004,0.6977094392327028,0.6291197317497691,0.9064498447573498,0.21867271234000032,0.8632066355855247,0.20177965125513322,44.41538712862102,0.6424524481359506,0,0.4010425718674635,referral,0.28543648197947946,0.0
30,65743.29072979002,suburban,college,0.34239554012967366,0.07705042322834559,0.5470311451939717,0.39518904024336166,0.35955357102503327,0.38531122255714956,0.636299370301299,0.5005696765623546,12.869931970304702,0.2286618385833625,1,0.36699909905606215,referral,0.11590776314986957,0.36552699793487714
40,41971.47182659148,urban,college,0.17169585773715207,0.5512016763768751,0.4108927373560813,0.24160124334144187,0.4686796680305614,0.4908378109683131,0.46058673373611886,0.5296627653376368,25.130931763884362,0.3501086848067299,0,0.6493514278428056,Instagram,0.45919460772897785,0.33142773510429635
30,69760.91098451489,urban,high_school,0.884773299773861,0.3046329519476903,0.8021613915607966,0.3631150658817577,0.8635811836476012,0.44647040985760966,0.3874332055047163,0.8051364148920523,30.384092326919912,0.23194045356852885,0,0.32262933307111025,in-store,0.07368102155802066,0.4325176612521188
30,52963.994070386,suburban,college,0.27109136805295203,0.38810956978868133,0.6935654021582043,0.6038446923693567,0.5800540818954367,0.5040060052689509,0.6340614553546465,0.8578980888374425,46.17165208263165,0.7660310333992093,0,0.6049785055449204,in-store,0.7664735138003395,0.22264437131340503
37,81128.91308937898,suburban,college,0.3283060043548363,0.38279389831293276,0.2844032139720613,0.622292274685571,0.7730400087185982,0.42360391863739544,0.41805291157935204,0.3359506844357184,52.936422997754846,0.2635334244165616,0,0.42085752682076805,Instagram,0.35211754481321256,0.05502167425876006
18,39662.18272865648,suburban,graduate,0.366173044553541,0.42720346022185285,0.16874364335142011,0.29121260095820006,0.5728301665207776,0.39282441710640265,0.5194279550184729,0.9668133510337109,32.296233828345336,0.9598913549783751,0,0.412157064838871,Instagram,0.2657253916596864,0.2401396427902736
18,76039.45704747873,urban,high_school,0.4336201838707415,0.12433201768324816,0.7256766858858675,0.4140463613338997,0.8598376841515675,0.7282223556179209,0.2205105966234602,0.26624611773207035,26.09075016626652,0.31089311505620293,0,0.8386750853714935,referral,0.18059524849108616,0.2541494145828197
